% Model:              biconAndDipole_box_12.31.21.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 1 2022, 14:41
% Table:              Table 8 - Global Evaluation 6
% freq (MHz)                                      abs(emw.Zport_2) (Ω)                              (emw.Zport_2) (Ω)
115                                               1174.6777794119535                                0.2204665067761462-1174.6777587230965i
115.5                                             1167.327165754644                                 0.22116819588087908-1167.3271448027754i
116                                               1160.6944323533664                                0.22406340176802414-1160.6944107264821i
116.5                                             1154.4593270271955                                0.22785754114591458-1154.459304540886i
117                                               1148.46109155052                                  0.2318138372257859-1148.4610681550143i
117.5                                             1142.6231291815684                                0.23589336432153435-1142.6231048315974i
118                                               1136.9041002048068                                0.23992391138205588-1136.9040748889142i
118.5                                             1131.279392105537                                 0.24371310025668363-1131.2793658538098i
119                                               1125.7332430175516                                0.24700691805216707-1125.7332159185835i
119.5                                             1120.2549327325796                                0.24944547799604186-1120.2549049607549i
120                                               1114.836751763932                                 0.250504069503233-1114.8367236197712i
120.5                                             1109.4728102029555                                0.24940980784471722-1109.4727821692568i
121                                               1104.1582330315443                                0.245028052002197-1104.1582058439797i
121.5                                             1098.888467997273                                 0.2357321551027864-1098.8884427127919i
122                                               1093.6584763040257                                0.21934075190454405-1093.658454308875i
122.5                                             1088.461660845953                                 0.19345338407541948-1088.4616436546207i
123                                               1083.287427298399                                 0.15754360606606815-1083.2874158425345i
123.5                                             1078.1248405674762                                0.11221406443549356-1078.124834727709i
124                                               1072.9589956839732                                0.07174060610038606-1072.9589932855988i
124.5                                             1067.78900463523                                  0.056410636231378306-1067.7890031451602i
125                                               1062.62866744558                                  0.07899883632360816-1062.628664509081i
125.5                                             1057.4924002123962                                0.1335145735215629-1057.4923917839i
126                                               1052.3782911515777                                0.20353934006687438-1052.3782714684164i
126.5                                             1047.2674524664153                                0.276391653402324-1047.2674159941907i
127                                               1042.128577321662                                 0.3467891311875158-1042.1285196211502i
127.5                                             1036.913525331212                                 0.414320290031337-1036.9134425560792i
128                                               1031.538947982475                                 0.4801468536253653-1031.5388362363244i
128.5                                             1025.8251650459656                                0.5470446148019107-1025.82501918396i
129                                               1019.2822104445426                                0.6192295873833797-1019.2820223487859i
129.5                                             1009.8802293461501                                0.7127717420156535-1009.8799778095794i
130                                               965.1061801278704                                 1.404438983223228-965.1051582455416i
130.5                                             1029.6354384081367                                0.8672381864985692-1029.6350731807088i
131                                               1014.3942505695948                                0.908412275542278-1014.3938438179657i
131.5                                             1006.9356324594112                                1.0002473913723422-1006.9351356575013i
132                                               1001.0204083488002                                1.105697649053935-1001.0197976880914i
132.5                                             995.6800566476892                                 1.2232532731396473-995.679305227027i
133                                               990.618906053609                                  1.3540573053213065-990.6179806361597i
133.5                                             985.7152052443898                                 1.4986808539549386-985.7140659469599i
134                                               980.906835772928                                  1.6567949621152105-980.9054365720029i
134.5                                             976.1538015427718                                 1.8281489303306673-976.1520896550361i
135                                               971.4226286645413                                 2.010533792311785-971.4205480817242i
135.5                                             966.6732825333644                                 2.198079270598991-966.6707834683688i
136                                               961.840102212293                                  2.384080200650773-961.8371475386834i
136.5                                             956.7899697386376                                 2.5590077680335654-956.7865476017658i
137                                               951.1823129134406                                 2.712904962666056-951.1784441134197i
137.5                                             943.6929799498835                                 2.84553039932386-943.6886898566909i
138                                               892.5767767245969                                 4.802453864680126-892.5638569788431i
138.5                                             922.661830946978                                  3.189813171259087-922.6563170424631i
139                                               958.0955749862471                                 2.858110613866142-958.0913119384531i
139.5                                             943.3794501810656                                 2.713203538360849-943.3755485226915i
140                                               936.1963288248471                                 2.5783512171916607-936.1927783368776i
140.5                                             910.2727250793473                                 7.376298307264318-910.242838063922i
141                                               925.9827417980404                                 2.2460244396599798-925.9800178632543i
141.5                                             920.2799769320777                                 2.0728830199273083-920.2776423982554i
142                                               910.9849793727037                                 1.980717601506436-910.9828260732846i
142.5                                             912.4862014109226                                 1.7430825512671708-912.4845365421565i
143                                               905.8023529639328                                 1.5915458037010823-905.800954744999i
143.5                                             899.0295685055087                                 1.4605509349555064-899.0283821093567i
144                                               890.594953282105                                  1.350782076001989-890.5939289032561i
144.5                                             876.435914763409                                  1.2878719457322776-876.4349685361857i
145                                               802.918108655822                                  2.1442381622302884-802.915245496152i
145.5                                             928.7820517637801                                 1.1811559481933955-928.781300710325i
146                                               897.9875475125635                                 0.9729724806647809-897.9870204029569i
146.5                                             883.3314965912912                                 0.8999709854705221-883.3310381292143i
147                                               866.4933518972356                                 0.8714798866080498-866.4929136495657i
147.5                                             813.5556915301978                                 1.1727762373951658-813.5548462255482i
148                                               967.2035240377343                                 1.1412834285139366-967.2028506901476i
148.5                                             903.990357502403                                  0.68875339580574-903.9900951205616i
149                                               888.5995027780396                                 0.6257899945339189-888.5992824238954i
149.5                                             879.6588800304858                                 0.585842926808876-879.6586849480619i
150                                               872.8547685863225                                 0.5531612580563244-872.854593306643i
150.5                                             867.0076441074209                                 0.5247740211594737-867.0074852923283i
151                                               861.6459242505492                                 0.49968755343941446-861.6457793605979i
151.5                                             856.5263268580941                                 0.47742031036600324-856.5261938031235i
152                                               851.4878938356736                                 0.4577045098978161-851.4877708195772i
152.5                                             846.38797280595                                   0.4404258141834514-846.3878582161182i
153                                               841.0533362985595                                 0.42570737342355414-841.0532285605769i
153.5                                             835.2136132621832                                 0.41426264921436856-835.213510525859i
154                                               828.2946378653947                                 0.40735928672257493-828.2945376947605i
154.5                                             818.8688097413141                                 0.411639928701723-818.8687062769742i
155                                               801.4713729205887                                 0.458999201187029-801.4712414871457i
155.5                                             718.3675208740655                                 1.3705657346430664-718.3662134289989i
156                                               909.6341569729434                                 0.8364669131046512-909.6337723803908i
156.5                                             853.9323028091932                                 0.39504009526848227-853.9322114338671i
157                                               838.796618343561                                  0.3487251216851716-838.7965458532736i
157.5                                             830.1932598530715                                 0.3318215225800938-830.1931935398812i
158                                               823.8542277753517                                 0.32207088655725175-823.8541648214598i
158.5                                             818.5705490307187                                 0.3153287218034708-818.5704882954487i
159                                               813.8664908528737                                 0.3102231264473348-813.8664317286851i
159.5                                             809.5144596750425                                 0.30622054119718056-809.5144017569769i
160                                               805.426692188923                                  0.3116886045812539-805.4266318794058i
160.5                                             801.4079398034519                                 0.3007205455772664-801.407883382218i
161                                               797.493610051877                                  0.29858729169992676-797.49355415527i
161.5                                             793.4530867872436                                 0.29525278431844454-793.453031853807i
162                                               791.9748704115804                                 0.3863640949562692-791.9747761679191i
162.5                                             786.3000028539554                                 0.31579531232970265-786.2999394387939i
163                                               784.9712677487639                                 0.33926383440784974-784.9711944340074i
163.5                                             779.8436083078105                                 0.32493957572120025-779.8435406110754i
164                                               778.4699339054441                                 0.344773486930963-778.4698575577536i
164.5                                             773.6817551481707                                 0.33200665591598266-773.681683911888i
165                                               770.022610871672                                  0.340680242156643-770.0225355082791i
165.5                                             766.4852618925289                                 0.35155324301111296-766.4851812714816i
166                                               762.9830395264892                                 0.3653807557284321-762.9829520388929i
