% Model:              biconAndDipole_box_12.31.21.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 1 2022, 14:38
% Table:              Table 1 - Global Evaluation 1 (emw.Vport_1)
% freq (MHz)                                      abs(emw.Vport_1) (V)                              (emw.Vport_1) (V)
117                                               0.0030968746245732294                             0.0012595186744702785-0.0028291774686269176i
117.5                                             0.00315001429981611                               0.0011769139487518773-0.00292189384582658i
118                                               0.003201703718413053                              0.0010800263325270994-0.003014042106797454i
118.5                                             0.003250691598519257                              9.66044129245869E-4-0.003103829023808057i
119                                               0.0032950615843470254                             8.315169167327667E-4-0.0031884181754949837i
119.5                                             0.0033319171853960997                             6.722976742748864E-4-0.003263385966676704i
120                                               0.003356866972943791                              4.835958933754654E-4-0.0033218505213135643i
120.5                                             0.0033631906063925827                             2.603434389435182E-4-0.003353098917229608i
121                                               0.0033404945770786313                             -1.6656360698730373E-6-0.00334049416181921i
121.5                                             0.00327259199113347                               -3.0284962499823806E-4-0.003258548825024624i
122                                               0.0031343785614617306                             -6.330937328371614E-4-0.0030697754465096004i
122.5                                             0.002888081742871552                              -9.579212322283314E-4-0.002724592275250397i
123                                               0.002482906043407425                              -0.0011843739821142583-0.0021822192123798945i
123.5                                             0.0018574625331758904                             -0.0011985471545053771-0.0014190319871585908i
124                                               9.86882526376756E-4                               -7.918328763555055E-4-5.8901427554036E-4i
124.5                                             7.777743483569489E-5                              7.33162194966559E-5+2.5962691084302818E-5i
125                                               0.0011954080533748558                             0.0011846863029933723+1.597459782697452E-4i
125.5                                             0.002220051208596471                              0.0022111054953157-1.9909760765856642E-4i
126                                               0.003082351785202188                              0.0029605542204382998-8.579109718287135E-4i
126.5                                             0.0037874678495497774                             0.003422565553301802-0.001622022732493335i
127                                               0.0043721171185044415                             0.003665618239842295-0.0023829920305479526i
127.5                                             0.004875381293374296                              0.0037610486799605648-0.003102233966474952i
128                                               0.005329209404243435                              0.0037601354846102317-0.0037764869934439928i
128.5                                             0.005758563133058617                              0.0036947422989013117-0.00441700449423943i
129                                               0.006186882750285818                              0.003584754077162664-0.005042524801332153i
129.5                                             0.0066564625003831925                             0.0034503620837676653-0.005692406741432496i
130                                               0.007692009336689985                              0.003501342992564486-0.006848912678969229i
130.5                                             0.007053458327195076                              0.0028161654668288232-0.006466876095683167i
131                                               0.00764341107673633                               0.0025834677239289913-0.007193568475200107i
131.5                                             0.008144980242989335                              0.002244728032257625-0.00782955293869857i
132                                               0.008650700617532021                              0.0018272381592100264-0.008455520201838302i
132.5                                             0.009177106458121384                              0.0013238912935768295-0.00908111197962478i
133                                               0.009729765700545373                              7.211733684194646E-4-0.009703002090084888i
133.5                                             0.01030986696580469                               3.3561962492268206E-6-0.010309866419529284i
134                                               0.010915497162553987                              -8.454503113141782E-4-0.01088270610081991i
134.5                                             0.011541422227511198                              -0.0018394930510000562-0.011393888377064787i
135                                               0.012177890290463126                              -0.002987420021053025-0.011805775431726949i
135.5                                             0.012810806135780877                              -0.004287004603982574-0.012072213772709344i
136                                               0.013421042140325518                              -0.005720863277166488-0.012140679367167279i
136.5                                             0.013986148188326058                              -0.0072511356793852335-0.011959656036231257i
137                                               0.014485378433603514                              -0.008820001162800203-0.011490594756273884i
137.5                                             0.014921450937227078                              -0.01036822855507539-0.010730775121201365i
138                                               0.016316806880208878                              -0.012676826822482078-0.010273083688884788i
138.5                                             0.015536011460983191                              -0.013081342493947936-0.00838129647917511i
139                                               0.014541773898698448                              -0.013042190945139582-0.006431519530514273i
139.5                                             0.014579612448842478                              -0.013713147389018925-0.00495123094245118i
140                                               0.01433180973456113                               -0.01392095686193034-0.0034070119336356516i
140.5                                             0.01439309403496588                               -0.014270318941379003-0.0018759406202462892i
141                                               0.013504317921744967                              -0.013490313341787984-6.148564645016072E-4i
141.5                                             0.013035059576237606                              -0.013023668422689927+5.448293052810166E-4i
142                                               0.012620228624447801                              -0.012524986588131556+0.0015475404681158742i
142.5                                             0.011994588710428607                              -0.011762846011876696+0.0023464040643541985i
143                                               0.01153946585135799                               -0.011134689027003193+0.0030295168602587253i
143.5                                             0.011103316008732248                              -0.010507399129464254+0.003588619501131831i
144                                               0.010718071624316811                              -0.009921782876671843+0.004054045373718283i
