% Model:              biconAndDipole_box_12.31.21.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 1 2022, 14:41
% Table:              Table 10 - s22
% freq (MHz)                                      abs(emw.S22) (1)                                  S22 (1)
200.5                                             0.9996403294243167                                0.9846970653383743-0.172198948096525i
201                                               0.9991430465444733                                0.9861016420583543-0.16090487558799704i
201.5                                             0.9995553377173421                                0.9829940223302542-0.18120051109811286i
202                                               0.999624340205537                                 0.9874348259870437-0.15563189248766462i
202.5                                             0.9996976883800586                                0.9863008970167039-0.16311348410379217i
203                                               0.9997008197892628                                0.9854495310708756-0.1681991403055184i
203.5                                             0.9996876142514989                                0.9848766858684818-0.171444567486315i
204                                               0.9996628095323474                                0.9841274190792403-0.1755532847272866i
204.5                                             0.9995652383916799                                0.9821055809647785-0.18600885365715955i
205                                               0.9989742709456281                                0.9930701493459656-0.10844940059461258i
205.5                                             0.999690374885018                                 0.9865180087712311-0.16175000466087508i
206                                               0.9996764367636058                                0.985407728249706-0.16829910078824875i
206.5                                             0.9996519689511346                                0.9846724679588083-0.1724070470479379i
207                                               0.9996053055748879                                0.9837240592043888-0.17747603296193323i
207.5                                             0.9992532489493174                                0.9797553061922353-0.19643471058834241i
208                                               0.9995629668083785                                0.9872377485524872-0.15648563016387051i
208.5                                             0.9995796025541457                                0.9849884423027776-0.17016800631214898i
209                                               0.9995912897090198                                0.9845070484054128-0.17299889624562262i
209.5                                             0.9986632563814531                                0.9818381193357928-0.18254371275275816i
210                                               0.9991974687130994                                0.984568572200287-0.17035347991207442i
210.5                                             0.999165675051464                                 0.9790240937862578-0.19960929333837263i
211                                               0.9997038123499874                                0.9880954233158971-0.15190505866914733i
211.5                                             0.999748813987249                                 0.9858792618296635-0.16595111377483707i
212                                               0.9995520717691567                                0.984821213903681-0.1709722808624066i
212.5                                             0.999548005846922                                 0.9844775410155253-0.17291670604248502i
213                                               0.9993140674895318                                0.9835990620707029-0.17652617532849363i
213.5                                             0.9996535720211805                                0.9845482223987745-0.17312441141017348i
214                                               0.9997186355703752                                0.9841042082340229-0.17600073193819263i
214.5                                             0.9997345543855181                                0.9838202364627974-0.1776708235999815i
215                                               0.9997343608634758                                0.9835576880960387-0.1791174655869097i
215.5                                             0.9998808894686342                                0.9834204724689597-0.1806819511005879i
216                                               0.999853177729688                                 0.9830458458056295-0.1825575034350809i
216.5                                             0.9995100489944747                                0.9825228424236216-0.18349169506204993i
217                                               0.99982198927115                                  0.9817538897382456-0.1892176265942052i
217.5                                             0.9548993822595369                                0.9541776480627749+0.03711935043930998i
218                                               0.9996697297266931                                0.9837997448874481-0.17741936334918879i
218.5                                             0.9992024288448844                                0.9824726235817303-0.1820797564858543i
219                                               0.9983748627310574                                0.9812529279919399-0.184106104843111i
219.5                                             0.9975980696361262                                0.9802907841800609-0.18501861255929528i
220                                               0.9972871084680767                                0.979864665643298-0.18559852838954635i
220.5                                             0.9973566016684813                                0.979819865520943-0.18620747037168728i
221                                               0.9975480526405961                                0.9798203477019327-0.18722767839267038i
221.5                                             0.9977013110635898                                0.979594587974835-0.189215087422804i
222                                               0.9980010814230068                                0.9803586275260687-0.1868237671087216i
222.5                                             0.9981292966281939                                0.9799645578826583-0.18955621351287633i
223                                               0.9978359605640676                                0.9782662852699897-0.1966511614480594i
223.5                                             0.9983841700196054                                0.9796591550037028-0.1924549063109786i
224                                               0.9984272000944362                                0.9789728437926737-0.19613527221002497i
224.5                                             0.9979893649056323                                0.9755670216826462-0.21036101984445355i
225                                               0.9631888904160464                                0.8787420937468857-0.394392154204713i
225.5                                             0.9989409941488158                                0.9825587155858121-0.18017069744379507i
226                                               0.9989571654188669                                0.9812237236963431-0.18739109476487878i
226.5                                             0.9989806378572855                                0.9805764355140808-0.19087212716436322i
227                                               0.9989770135611857                                0.9798141922157008-0.19472858638710297i
227.5                                             0.9972686118758403                                0.9743553722619336-0.21254715424365062i
228                                               0.9988533291197599                                0.9791082798723961-0.1976232511091369i
228.5                                             0.9991561778536189                                0.9803235219080462-0.19307734237050433i
229                                               0.9986277035302327                                0.9800065550116772-0.19194906197272918i
229.5                                             0.9990930764458703                                0.9789019062840971-0.19984502314402106i
230                                               0.9992207458306644                                0.9798867129506901-0.19561218950024858i
230.5                                             0.999205284251193                                 0.9803339870516187-0.1932782292628535i
231                                               0.9992802042183849                                0.9794675845420281-0.19800044791399388i
231.5                                             0.9992908205525112                                0.9791338100803862-0.19969758635991885i
232                                               0.999296855109769                                 0.978810145163031-0.2013079838411799i
232.5                                             0.9992939563629111                                0.9784134236888813-0.20321314812000052i
233                                               0.9992446451773995                                0.977619274145418-0.20676173663203046i
233.5                                             0.6754622282506231                                0.6748875298567414+0.027857563374473197i
234                                               0.9993794580382221                                0.979491321007216-0.19838360118797502i
234.5                                             0.9994017960929111                                0.9787189805066244-0.2022698871058429i
235                                               0.9994170948301403                                0.9782937041861396-0.20439167739533737i
235.5                                             0.9994034815067835                                0.9774638196521223-0.20825897368171925i
236                                               0.9994265540403225                                0.9778578910867992-0.20651242519565555i
236.5                                             0.9994809350588999                                0.9775349662912439-0.20829673358982226i
237                                               0.9995210922766428                                0.9773472919554116-0.20936734419034045i
237.5                                             0.9995798655263571                                0.9768956810125204-0.21174214503677374i
238                                               0.9996006306306123                                0.9763476665444377-0.2143517081582259i
238.5                                             0.99955229444836                                  0.97526920635402-0.21898576317783966i
239                                               0.998794608692487                                 0.9673869253799893-0.24850192545940064i
239.5                                             0.9986172187980663                                0.9768272133044186-0.20747275731504866i
240                                               0.9733645012596801                                0.9515160326864825-0.2050748445155633i
240.5                                             0.9559745888752343                                0.9402250084076746-0.17281304389415042i
241                                               0.9988591757595774                                0.9772164258678524-0.2068035541598896i
241.5                                             0.9995085341347465                                0.9768465518343564-0.21163204855956413i
242                                               0.999686043644788                                 0.9763478153705826-0.21474899133467382i
242.5                                             0.9997626755517225                                0.9757701959903852-0.2177106612989453i
243                                               0.9997814802483915                                0.9747963959866596-0.22211482305124197i
243.5                                             0.9997703834750759                                0.9733108003723253-0.22848830506720413i
244                                               0.9834545874246992                                0.9833184756636255-0.01636156915608125i
244.5                                             0.9998257004534273                                0.9770351863009032-0.21225851223719136i
245                                               0.999852388356394                                 0.9752970701991652-0.22022811664932754i
245.5                                             0.9998347538979754                                0.9735553049119209-0.22772703699842445i
246                                               0.9953519706921692                                0.9505513818097067-0.29525855804775947i
246.5                                             0.9997506709481329                                0.975059938154075-0.2208155815793198i
247                                               0.9647154060626113                                0.9521605653597748+0.1551324352555037i
247.5                                             0.9998429708911302                                0.9785498701038411-0.2052464814805775i
