% Model:              biconAndDipole_fullFeature_addCablesV2_1.1.22.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 5 2022, 16:48
% Table:              Table 1 - Global Evaluation 1 (emw.Vport_1)
% freq (MHz)                                      abs(emw.Vport_1) (V)                              Lumped port voltage (V)
94                                                0.0024200525751936477                             0.002368861156396661-4.951275476243267E-4i
94.5                                              0.00242832944151081                               0.002366709250570143-5.435726260343828E-4i
95                                                0.0024500423344971417                             0.002376151630701584-5.971690453652204E-4i
95.5                                              0.0025425156513847443                             0.002448458323928317-6.851552185618435E-4i
96                                                0.002113552024024155                              0.0020298871309086027-5.88778730957771E-4i
96.5                                              0.0023170024277237205                             0.0022157060597624034-6.776037978123937E-4i
97                                                0.0023460042634046653                             0.00222932845938449-7.306371357187111E-4i
97.5                                              0.002348227092504474                              0.0022159283564492003-7.770662758454789E-4i
98                                                0.0023400854409878946                             0.002248398394497116-6.486173993551978E-4i
98.5                                              0.002191119516997052                              0.0020475155882555217-7.801824489284796E-4i
99                                                0.002899359470237615                              0.0027108638867745787-0.0010283493205316804i
99.5                                              0.0026443411330101074                             0.0024344116786710317-0.0010325598319125466i
100                                               0.0026361073439228866                             0.002405274439362331-0.0010787570625652473i
100.5                                             0.0026730645205545554                             0.0024177494501726807-0.0011400708430782955i
101                                               0.0027503271299468583                             0.0024653108257919826-0.001219238226908333i
101.5                                             0.0029047794849752485                             0.0025792774212404553-0.0013360658069916534i
102                                               0.003320943423115721                              0.0029187749322143602-0.0015841142997311212i
102.5                                             0.008779384408227169                              0.00755004626586025-0.004480445510302743i
103                                               0.0012308276486312113                             0.0010602082928838092-6.25216023735345E-4i
103.5                                             0.001911158874395552                              0.0016299510553270554-9.978916776980818E-4i
104                                               0.002122720754755978                              0.001789752620689313-0.0011413715255811862i
104.5                                             0.002233375170526693                              0.001860566215432522-0.0012354181520101758i
105                                               0.002307635725203408                              0.0018983576157610826-0.001312029345295659i
105.5                                             0.0023710034556803446                             0.001924407895406698-0.001385031277244128i
106                                               0.0023416186851796302                             0.0018800088408621326-0.0013959745073111474i
106.5                                             0.0024263363181683192                             0.0019171466903720343-0.0014871639104208222i
107                                               0.0024661753753681412                             0.0019192176745865927-0.0015487493340197514i
107.5                                             0.002500187305159895                              0.0019150805879910979-0.001607296768609446i
108                                               0.002529207508469396                              0.0019053095625999098-0.001663335832465383i
108.5                                             0.0025433569695833156                             0.0018828399189393717-0.0017098475120245103i
109                                               0.0021296148869724566                             0.0018656550254502258-0.0010269327596425313i
109.5                                             0.0027240098069543435                             0.001946635222772159-0.0019054765120164112i
110                                               0.0027465782168164168                             0.0019201701342071254-0.001963832619341434i
110.5                                             0.0027999280646969073                             0.001914214447368339-0.00204337471281302i
111                                               0.0028908216600448504                             0.0019297557044862395-0.0021524155712100024i
111.5                                             0.003114856225467345                              0.0020247084345522645-0.0023670414150127566i
112                                               0.008045366106721043                              0.004718260242592708-0.0065165892976575355i
112.5                                             0.0017278267655725919                             0.0010851986133532227-0.0013445182413806393i
113                                               0.002578970256458813                              0.0015470212267400761-0.002063446851197012i
113.5                                             0.0023382683722857206                             0.0013509116020166444-0.0019085431156692628i
114                                               0.0026717528530237934                             0.0014941842276596103-0.0022148762496929787i
114.5                                             0.0012525561651382836                             6.797056823969495E-4-0.0010520917888393675i
115                                               0.0037011597359380205                             0.0019160282402705918-0.003166610044418854i
115.5                                             0.003385536696491387                              0.00166006799533644-0.0029505987484152204i
116                                               0.003339733209209027                              0.0015457069616865568-0.0029605080471580107i
116.5                                             0.003348422673643658                              0.001451264948885952-0.0030175759227409667i
117                                               0.003377670774170742                              0.00135615764699563-0.003093460246258622i
117.5                                             0.0034168114377084                                0.0012522416169798091-0.0031790708286476943i
118                                               0.00346095384969113                               0.001133986058718773-0.0032699047644118504i
118.5                                             0.0035068385491112833                             9.95956442505321E-4-0.003362437713053593i
119                                               0.0035513405311343458                             8.320257609690116E-4-0.0034524994860479726i
119.5                                             0.0035901383222098964                             6.33862196466061E-4-0.0035337390804205267i
120                                               0.0036162336328263746                             3.9030213805795843E-4-0.003595109167773911i
120.5                                             0.003616028134080555                              8.447893158902174E-5-0.0036150411860143i
121                                               0.003555546008145299                              -3.15174633755184E-4-0.003541549430161219i
121.5                                             0.003265060385838503                              -9.180523295239997E-4-0.0031333367587010864i
122                                               0.004176291764805141                              7.926582456309566E-4-0.004100378739874219i
122.5                                             0.0034825156294413075                             -0.0011340173603577998-0.003292707052822968i
123                                               0.002892335965615923                              -0.0016019028651134768-0.002408218127316674i
123.5                                             0.002038397696710958                              -0.001547757597044364-0.0013264658272070166i
124                                               9.055667809809557E-4                              -8.296732102692604E-4-3.628960718686684E-4i
124.5                                             3.274516029517934E-4                              3.2570169430607516E-4+3.380767075459244E-5i
125                                               0.0014397392600543582                             0.0014251757837924126-2.0426238575311324E-4i
125.5                                             0.0023364100871241552                             0.002194814714813863-8.009996647015813E-4i
126                                               0.003037389264088167                              0.002641246481156895-0.0014998501816429453i
126.5                                             0.0035989399682711614                             0.0028625434038111876-0.0021813331145234763i
127                                               0.0040732026197150325                             0.0029443814803439914-0.0028145332258583708i
127.5                                             0.004500978113653029                              0.0029423244079160972-0.003406102032847044i
128                                               0.004916777137086279                              0.002890019926947384-0.003977748387922668i
128.5                                             0.005360837717923217                              0.0028109850609889277-0.00456475016017364i
129                                               0.0059093028347170186                             0.0027319545159894196-0.0052398744751148i
129.5                                             0.006833724728664095                              0.002734466125332281-0.006262786015549743i
130                                               0.011583976041488574                              0.00379499946756686-0.010944700999613855i
130.5                                             0.0029433766596074044                             8.237350420284499E-4-0.0028257612674916525i
131                                               0.004995064681215756                              0.0010774742375356343-0.004877470700780894i
131.5                                             0.005430842817871104                              7.821296615902753E-4-0.005374228028738903i
132                                               0.007556102215668398                              0.0018226582396437276-0.007332980133280582i
132.5                                             0.007076700098870552                              2.831695555154543E-4-0.007071032406387604i
133                                               0.007400098486937468                              -3.0841522162064494E-4-0.007393668755593997i
133.5                                             0.0077645983683283385                             -9.461579960848116E-4-0.007706735551963093i
134                                               0.008128033362948189                              -0.0016619365062241558-0.007956311544835224i
134.5                                             0.008474638424446854                              -0.002458693566538462-0.008110137013082667i
135                                               0.00878912625485095                               -0.00332649219225773-0.008135305158293613i
135.5                                             0.00905224958320698                               -0.004241425372062817-0.007997095305790267i
136                                               0.009238584079729084                              -0.005162581672051084-0.007661539419570059i
136.5                                             0.009308428294093778                              -0.0060257343661702075-0.007094882849958901i
137                                               0.009043202918236296                              -0.006645862077278777-0.006132865257788181i
137.5                                             0.00925211152178429                               -0.007438326934976692-0.005502077791156161i
138                                               0.00871867707624295                               -0.007621506491203002-0.004234143214908399i
138.5                                             0.007378762727765731                              -0.00677988583664174-0.0029119216051895205i
139                                               0.0042843596664353814                             -0.004151617377306716-0.001058211181108571i
139.5                                             0.03360416212884339                               -0.021661991118215325-0.02569042337478993i
140                                               0.010034846115568423                              -0.00952950487255096-0.0031443081030913876i
140.5                                             0.00961381752390558                               -0.009544782130968021-0.0011500528054431195i
141                                               0.008367396219549062                              -0.008367385913632614-1.3132679332400761E-5i
141.5                                             0.006446872113602362                              -0.006412793227493177+6.619992980067541E-4i
142                                               0.027899862593570385                              -0.027823406317848617-0.0020640720946734524i
142.5                                             0.009237195235165061                              -0.009016941792596008+0.0020051275574116444i
143                                               0.007717447073807821                              -0.00738093188862226+0.0022540704941380885i
143.5                                             0.006705440906328945                              -0.006269282728058642+0.0023788719645948015i
144                                               0.005670170113321222                              -0.005169852591118001+0.0023288308869713324i
144.5                                             0.004151795529501121                              -0.0036828263278785435+0.0019168193335497574i
145                                               1.8611089784987178E-4                             1.224039124801489E-4-1.4019468074088064E-4i
145.5                                             0.030048383250166084                              -0.026582316783625565+0.014010202366983866i
146                                               0.01100449811011478                               -0.008972409711732559+0.006371408213285899i
146.5                                             0.007850381485128732                              -0.006789133106972858+0.00394159372815833i
147                                               0.008540418218033686                              -0.0066645905891484815+0.00534059693460901i
147.5                                             0.016230152680562816                              -0.01186693129001082+0.011072208352110363i
148                                               0.002778539223795898                              -0.00202373724840317+0.0019038822882725388i
148.5                                             0.003901372321494992                              -0.002711503918454188+0.002805076200593276i
149                                               0.003984604682298664                              -0.002629679780004107+0.002993636372179157i
149.5                                             0.0037638525872428774                             -0.002278732410508101+0.0029956576739999584i
150                                               0.0034830833945394537                             -4.6472324583336983E-4+0.0034519418068818283i
150.5                                             8.35244808767833E-4                               -7.335178659466645E-4+3.9948145252397536E-4i
151                                               0.008292875611713737                              -0.006404775900108708+0.005267886823076514i
151.5                                             0.005173191316701163                              -0.0033384337679784786+0.003951805710812885i
152                                               0.004509617482588822                              -0.002718588170599586+0.003598045052239721i
152.5                                             0.004146944289649982                              -0.002371478535139132+0.0034019459870543133i
153                                               0.004228074569768543                              -0.0023183701873250397+0.003535784812746092i
153.5                                             0.0038066831064917546                             -0.0019765524091810093+0.0032533178213956385i
154                                               0.003640312265576406                              -0.0018000369273896788+0.003164133443921029i
154.5                                             0.003512636126138208                              -0.0016503257312446957+0.003100812399266182i
155                                               0.0031310159660884254                             -0.0013974567455676357+0.002801852177429806i
