% Model:              biconAndDipole_fullFeature_addCablesV1_1.1.22.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 2 2022, 12:52
% Table:              Table 10 - tickle Impedance
% freq (MHz)                                      abs(emw.Zport_2) (Ω)                              Lumped port impedance (Ω)
114.5                                             1181.9236981454135                                5.9502719941452265-1181.9087200376034i
115                                               1176.3065758211433                                6.103064929156812-1176.290743361748i
115.5                                             1164.9145473336241                                5.766719096263975-1164.900273645932i
116                                               1158.0443915745                                   5.696534898853141-1158.0303805804492i
116.5                                             1151.6897998266459                                5.635760155084483-1151.6760105308324i
117                                               1145.5789231942017                                5.578577018597597-1145.56534023391i
117.5                                             1139.3134042583288                                5.520301710758089-1139.300030453666i
118                                               1134.4678325541418                                5.492114084422733-1134.4545384381763i
118.5                                             1128.6279347352884                                5.432911173519853-1128.6148583733172i
119                                               1123.0306570653654                                5.381184028614269-1123.0177645821623i
119.5                                             1117.5306272146788                                5.330392988219009-1117.5179146991i
120                                               1112.1029237486648                                5.278709666917061-1112.090395711869i
120.5                                             1106.735397243013                                 5.2247369604361005-1106.7230645623792i
121                                               1101.4201464299397                                5.166478924896154-1101.408029050664i
121.5                                             1096.1498872164184                                5.100514472591396-1096.1380205050282i
122                                               1090.9120989092555                                5.017363267163683-1090.900560826899i
122.5                                             1085.7602625446416                                5.055603220705523-1085.7484923300992i
123                                               1080.5511786067045                                4.881411376960329-1080.540152614102i
123.5                                             1075.3600169909269                                4.786727829111185-1075.349363406803i
124                                               1070.1671870771563                                4.727736754261944-1070.1567440341698i
124.5                                             1064.994774707602                                 4.7190558544725185-1064.9843194462246i
125                                               1059.8670826633706                                4.746845626221317-1059.8564527189353i
125.5                                             1054.7825263255559                                4.785071774091484-1054.7716724153331i
126                                               1049.7208112808764                                4.8188837149998545-1049.7097503576513i
126.5                                             1044.656503983901                                 4.845234332044907-1044.6452675526434i
127                                               1039.5599009951716                                4.866113975288051-1039.548511947312i
127.5                                             1034.3882312785827                                4.884725825858452-1034.376697562953i
128                                               1029.061539555069                                 4.904159088325963-1029.0498537073338i
128.5                                             1023.432187473231                                 4.930370653468452-1023.4203114075184i
129                                               1017.0466574886951                                4.97013027721321-1017.0345133347023i
129.5                                             1008.1943231574901                                5.059179136360874-1008.1816294465277i
130                                               975.7177030321228                                 5.885771925765023-975.6999506503624i
130.5                                             1029.3165107640802                                4.883854527885221-1029.3049243525902i
131                                               1012.213420277274                                 4.919089218481754-1012.2014674711147i
131.5                                             1004.5533370739159                                4.950370479634705-1004.5411394554505i
132                                               998.6503197021256                                 5.369863455358106-998.6358823953946i
132.5                                             993.283481804257                                  5.202990408337405-993.2698546296463i
133                                               988.2527036680053                                 5.242484305667559-988.2387984011897i
133.5                                             983.3367636182267                                 5.3160271032832-983.3223939985326i
134                                               978.3794327272051                                 5.41480692986512-978.3644485821835i
134.5                                             974.3724582247828                                 5.417450269918275-974.3573977651009i
135                                               969.3783689859907                                 5.519395534387199-969.3626558367486i
135.5                                             964.6092143527969                                 5.5853320268257445-964.5930439726746i
136                                               959.7820474232021                                 5.624120825614912-959.7655691994856i
136.5                                             954.750679811174                                  5.6238634752676875-954.734116264581i
137                                               949.223165844884                                  5.565105908264614-949.206852152266i
137.5                                             942.3110597656469                                 5.40286478889532-942.2955706192879i
138                                               928.0056364247092                                 4.751237640406607-927.9934735637497i
138.5                                             680.035755644876                                  289.2110184942605-615.471864293576i
139                                               950.0680260330901                                 5.113499153091487-950.0542648800771i
139.5                                             937.4329252866999                                 4.187227153003721-937.4235737063308i
140                                               914.8399135923753                                 14.473332920090138-914.7254178910133i
140.5                                             931.2771805958516                                 7.0520313569422735-931.2504797058089i
141                                               924.3098391057564                                 5.5929394787534745-924.2929176920574i
141.5                                             917.6324569232862                                 4.781772820470953-917.61999795545i
142                                               933.320812408673                                  17.07866277687367-933.1645396996926i
142.5                                             911.0505599024117                                 5.264049959153928-911.0353519356564i
143                                               904.6016514994236                                 4.72817387651116-904.5892948002856i
143.5                                             898.1883797727712                                 4.389350539227135-898.1776545654427i
144                                               890.8212457053233                                 4.0811179974408285-890.811897246481i
144.5                                             880.7417860741509                                 3.7275065443140436-880.7338981962982i
145                                               859.4191099692241                                 3.252976490680726-859.4129535469223i
145.5                                             1317.8033674494307                                189.35802966650056-1304.1277743618068i
146                                               906.4065416660928                                 6.246103510140702-906.3850202678921i
146.5                                             884.2016648680479                                 4.9861570921159055-884.1876058806075i
147                                               863.442689386066                                  4.7374028541809325-863.4296930662274i
147.5                                             785.3091639263606                                 4.260826566405392-785.2976049267504i
148                                               936.1007961399266                                 4.481050590072673-936.0900708368899i
148.5                                             897.61966636532                                   3.9870256557223587-897.610811583845i
149                                               884.6391014706643                                 3.82079584901869-884.6308503380969i
