% Model:              biconAndDipole_fullFeature_addCablesV1_1.1.22.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 2 2022, 12:52
% Table:              Table 8 - s22
% freq (MHz)                                      abs(emw.S22) (1)                                  S22 (1)
186.5                                             0.9994823327826826                                0.9883661757134948-0.14865139168603236i
187                                               0.9982548107961552                                0.9873780805635703-0.1469598356703868i
187.5                                             0.9994045072503832                                0.9880809337186934-0.15001812401832024i
188                                               0.9993647769447014                                0.9879196127530022-0.15081377966117987i
188.5                                             0.9993202015802414                                0.9877618642648064-0.15154987558717598i
189                                               0.9992794565450995                                0.9876114687727116-0.15225970912121478i
189.5                                             0.9992529427781618                                0.9874761413525905-0.1529618053966902i
190                                               0.9992530541616063                                0.9873639778614242-0.1536848771771738i
190.5                                             0.9992975752906804                                0.9872826538726301-0.15449467739715045i
191                                               0.999435633180031                                 0.9872349208892044-0.1556881365000425i
191.5                                             0.9929258816958701                                0.9802480084571693-0.15816336003409387i
192                                               0.9984545076680594                                0.9863215541727712-0.15518117043274327i
192.5                                             0.9985834594105709                                0.986250060875886-0.15646003588998275i
193                                               0.999004240432448                                 0.9869624711492736-0.1546433087622336i
193.5                                             0.9992807016134664                                0.9867297577353955-0.15788066954681132i
194                                               0.9994368501043147                                0.9870048013691521-0.15714814482097778i
194.5                                             0.9994073454454094                                0.9868031184329393-0.15822341034520193i
195                                               0.9994449461143095                                0.9866218911824746-0.15958522535921787i
195.5                                             0.9993777863100817                                0.9863485532920457-0.16084928097050236i
196                                               0.9993597408302302                                0.9862350288490719-0.1614322132145105i
196.5                                             0.9993786549638759                                0.9861844274924246-0.1618578727428621i
197                                               0.9993483625851836                                0.9859716584193903-0.16296330444429688i
197.5                                             0.9993155572428384                                0.9858029975622916-0.16378044127662164i
198                                               0.9993694846641451                                0.9856518840563528-0.16501433372298582i
198.5                                             0.9994288143578031                                0.9854250408498612-0.16671965641367403i
199                                               0.9949133005021419                                0.9782717638865738-0.18120935819740924i
199.5                                             0.9990654766328686                                0.9855712537079182-0.16364941327198002i
200                                               0.9991385493119217                                0.9850742196950582-0.16705275338438344i
200.5                                             0.999009826951125                                 0.9848172613343579-0.16779629353120895i
201                                               0.999049722687716                                 0.9843999298224593-0.17046151051759287i
201.5                                             0.9985872194085204                                0.9832438382072434-0.17437886739375463i
202                                               0.8762728475141269                                0.8717987004003174-0.08843714870366398i
202.5                                             0.9992069657748555                                0.9844189595279578-0.17127134195447347i
203                                               0.9283071309283049                                0.921439212010007-0.11271161387682407i
203.5                                             0.9994218715481964                                0.9853038061453744-0.16739321050848566i
