% Model:              biconAndDipole_fullFeature.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 1 2022, 14:45
% Table:              Table 10 - s22
% freq (MHz)                                      abs(emw.S22) (1)                                  S22 (1)
95.5                                              0.9995927412308655                                0.9971498868446839-0.06984090124755135i
96                                                0.9995940142512464                                0.9971236462617039-0.07023266613681414i
96.5                                              0.999593669620088                                 0.9970949475872072-0.070634055813172i
97                                                0.9995935292387786                                0.997066327116475-0.07103494229250507i
97.5                                              0.9995934724352762                                0.9970374942897466-0.07143770094030667i
98                                                0.9995919802099414                                0.9970068263449442-0.07184368532873465i
98.5                                              0.9995932306742887                                0.9969781542514118-0.0722577798946932i
99                                                0.9995890372716776                                0.9969460380262365-0.07264186601064926i
99.5                                              0.9995916522219888                                0.9969174279844752-0.07306923410508681i
100                                               0.9995916903403104                                0.9968860634967779-0.07349642034342253i
100.5                                             0.999591409657347                                 0.9968532117311092-0.07393686849018356i
101                                               0.9995908336263127                                0.9968178394272628-0.07440450032968907i
101.5                                             0.9995896205589704                                0.996776754944922-0.07493670883283557i
102                                               0.9995856973101704                                0.9967153078463136-0.07569782937368798i
102.5                                             0.999443309871571                                 0.9961805551778484-0.08069219994891026i
103                                               0.9995937054995278                                0.9968059116392518-0.07460261788514286i
103.5                                             0.99959415267151                                  0.996730406222847-0.07561062997960247i
104                                               0.9995936161205041                                0.9966857017027481-0.0761906123493337i
104.5                                             0.9995931971152031                                0.9966478561942154-0.07667861802659187i
105                                               0.9995928603823993                                0.9966125002683249-0.07713242402767335i
105.5                                             0.9995925415919833                                0.9965781904754036-0.0775703517788267i
106                                               0.9995925321210516                                0.9965447116107168-0.07799915405239281i
106.5                                             0.9995921411478814                                0.9965109329821417-0.07842454393662422i
107                                               0.9995919052302715                                0.9964773412005734-0.07884722871300033i
107.5                                             0.9995916896910333                                0.9964436560726027-0.07926907576123067i
108                                               0.9995914930561809                                0.9964097749848638-0.07969136279985486i
108.5                                             0.9995913101419825                                0.9963755500287725-0.0801158574579727i
109                                               0.9995650968625445                                0.9963121610963737-0.08057580602948715i
109.5                                             0.9995900512508977                                0.9963058796496623-0.08096211913781033i
110                                               0.9995901405201651                                0.9962704566431085-0.08139794988361487i
110.5                                             0.9995899624026904                                0.9962339940943497-0.08184083300548295i
111                                               0.9995896887678613                                0.9961960628759704-0.08229793558434635i
111.5                                             0.999589241718945                                 0.9961552612189587-0.08278494854768956i
112                                               0.9995871524790488                                0.9961025164647475-0.08339215846691289i
112.5                                             0.9995894989638128                                0.9960879553756271-0.08359396864803666i
113                                               0.9995892547326277                                0.996010663779354-0.08450701636397234i
113.5                                             0.9995714454842087                                0.9957660915762981-0.08713762387312361i
114                                               0.9995678848363511                                0.9961684961443252-0.08236676323475547i
114.5                                             0.9995829269999946                                0.9960369900996175-0.08412099799200562i
115                                               0.9994012307955132                                0.9957012241305498-0.08591793980602218i
115.5                                             0.9995845494103013                                0.9959333518501657-0.08535824560221975i
116                                               0.9995846633726319                                0.9958902949558013-0.08586046623810512i
116.5                                             0.9995845094170376                                0.9958495740832362-0.08632970094201028i
117                                               0.9995842527856026                                0.9958099103081542-0.08678306833142799i
117.5                                             0.9995839348065634                                0.9957707613469619-0.08722748173519591i
118                                               0.9995836166394106                                0.9957318975017302-0.08766638438722192i
118.5                                             0.9995833128142874                                0.9956931588410496-0.08810183138798976i
119                                               0.9995830563186456                                0.9956544702357337-0.08853509122898695i
119.5                                             0.9995828915396443                                0.9956158038514424-0.08896700613150003i
120                                               0.9995828820143468                                0.9955771712709296-0.08939817705234072i
120.5                                             0.9995831221787378                                0.9955386258848751-0.08982907388951666i
121                                               0.999583760514287                                 0.995500278905904-0.09026011844746754i
121.5                                             0.9995850499983421                                0.9954623407744735-0.09069178727974243i
122                                               0.9995875865151368                                0.9954253238598602-0.09112501157008802i
122.5                                             0.9995683727076008                                0.9953666441715996-0.09155422102715606i
123                                               0.9995915101276245                                0.9953492846114148-0.09199450387261963i
123.5                                             0.9995956036019452                                0.9953124278376242-0.09243669040111367i
124                                               0.9995967197364731                                0.9952720061554572-0.09288291485095042i
124.5                                             0.9995935345977869                                0.9952268619958995-0.09333127863418506i
125                                               0.999587128453226                                 0.9951782657131405-0.09377977831895261i
125.5                                             0.9995797110557583                                0.9951284091739407-0.09422870056015442i
126                                               0.9995725785922351                                0.9950784141979521-0.09467993172166463i
126.5                                             0.9995660023789712                                0.9950283271953074-0.09513580393724345i
127                                               0.9995597942972957                                0.994977686576584-0.09559908781134378i
127.5                                             0.9995536307189667                                0.9949257634697888-0.0960738563165151i
128                                               0.9995471109905097                                0.9948714175548218-0.09656753917302617i
128.5                                             0.9995397180015638                                0.994812567616423-0.09709584530280149i
129                                               0.9995301214679194                                0.9947435930821702-0.09770183081011069i
129.5                                             0.9995132580528381                                0.994642235112369-0.09855748147182962i
130                                               0.999394343980387                                 0.994200813724153-0.10175360814349509i
130.5                                             0.9995490264158668                                0.9948757365043688-0.09654286676806906i
131                                               0.9995303375593017                                0.9946985164875444-0.09816189178540626i
131.5                                             0.9995201313356628                                0.9946146704695357-0.0989047533338889i
132                                               0.9994710111841633                                0.9945079066536644-0.09948027845176227i
132.5                                             0.9995001184647005                                0.9944836369487992-0.10001391229243795i
133                                               0.9994740738686736                                0.9944066546154766-0.10051780733829739i
133.5                                             0.9994619674681501                                0.9943444094015969-0.10101197902771315i
134                                               0.99944875142154                                  0.9942813594477695-0.10150066488831787i
134.5                                             0.9994351034338377                                0.9942177507373365-0.10198818605405777i
135                                               0.9994216517944898                                0.9941538129036055-0.10247845805265346i
135.5                                             0.9994091970545383                                0.9940898376337867-0.10297639472436763i
136                                               0.9993988697475473                                0.9940261005864621-0.10349015511413504i
136.5                                             0.9993919494234634                                0.9939621803613683-0.10403582355950909i
137                                               0.9993903150296383                                0.9938956958858095-0.1046534637491853i
137.5                                             0.9993985065990753                                0.9938155101975109-0.10548984161199138i
138                                               0.9994707573209564                                0.9935338994033653-0.10877584969132467i
138.5                                             0.9771155907112583                                0.9734412073022469-0.08465868849063937i
139                                               0.9994715520221101                                0.9939573540480876-0.10484351021980436i
139.5                                             0.999537772549006                                 0.9938966312408692-0.10604360027969659i
140                                               0.9993488657567489                                0.9935239970902373-0.10774146228420453i
140.5                                             0.9991238657268064                                0.9934252295638913-0.10655896175736393i
141                                               0.999348736008238                                 0.993556412174304-0.10744092324895436i
141.5                                             0.9994428827158419                                0.9935652461984793-0.10823205328324648i
142                                               0.9983009617562358                                0.9925936371113897-0.10659588082758333i
142.5                                             0.9993922001008272                                0.9934235023175059-0.10906197625933739i
143                                               0.999448340375714                                 0.9933930400725716-0.10985104922185872i
