% Model:              biconAndDipole_fullFeature.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 1 2022, 14:45
% Table:              Table 8 - tickle Z
% freq (MHz)                                      abs(emw.Zport_2) (Ω)                              Lumped port impedance (Ω)
119                                               1126.786623493386                                 5.447397846820511-1126.7734558199018i
119.5                                             1121.2946206382412                                5.396603737519533-1121.2816340867969i
120                                               1115.8650844433114                                5.344687024720656-1115.8522845790503i
120.5                                             1110.4912591855618                                5.290463962283039-1110.4786570297506i
121                                               1105.1672854587653                                5.232141797911318-1105.154900247247i
121.5                                             1099.8869681613835                                5.166725365258335-1099.8748327333617i
122                                               1094.6392495684977                                5.087169759848769-1094.6274285800253i
122.5                                             1089.464036251042                                 5.26791158315954-1089.4513001469886i
123                                               1084.254428602012                                 4.9450549901926015-1084.2431518687215i
123.5                                             1079.050314556733                                 4.85001263342524-1079.0394148141393i
124                                               1073.8453864744442                                4.790529744706459-1073.8347009094155i
124.5                                             1068.660678844118                                 4.780949587480714-1068.649984339406i
125                                               1063.5202854440422                                4.807812432426874-1063.5094181485144i
125.5                                             1058.4228222438749                                4.845248469426461-1058.4117318954654i
126                                               1053.3481027755217                                4.878348348348127-1053.3368062202057i
126.5                                             1048.2706570934479                                4.903994485573624-1048.2591861563697i
127                                               1043.1606822211181                                4.924146378380682-1043.1490601608539i
127.5                                             1037.975262457777                                 4.942012501511341-1037.963497424994i
128                                               1032.6370892406435                                4.961142599764698-1032.625171656925i
128.5                                             1026.9840720351378                                4.985291389664626-1026.9719719075265i
129                                               1020.5737632795589                                5.023635463172001-1020.561399123705i
129.5                                             1011.6527869998692                                5.109491701380736-1011.6398838218846i
130                                               979.5955221722085                                 5.936274528557234-979.5775353204887i
130.5                                             1032.9043094561794                                4.943211941673753-1032.892480923763i
131                                               1015.7678577434075                                4.9743083664218215-1015.755677848225i
131.5                                             1008.0906757708623                                5.003603163750808-1008.0782581384907i
132                                               1002.1777943576283                                5.440042675033551-1002.163029371576i
132.5                                             996.8346690255111                                 5.09221915291709-996.821662422772i
133                                               991.7850942221144                                 5.2978544925731255-991.7709442502053i
