% Model:              biconAndDipole_fullFeature.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 1 2022, 14:43
% Table:              Table 1 - Global Evaluation 1 (emw.Vport_1)
% freq (MHz)                                      abs(emw.Vport_1) (V)                              (emw.Vport_1) (V)
86                                                0.0019179633460077966                             0.001900916416073367+2.551473608176429E-4i
86.5                                              0.001886640588820908                              0.00187536944504914+2.0591783789313475E-4i
87                                                0.0018435583755223518                             0.0018367730704558262+1.580258573996344E-4i
87.5                                              0.0017635364979647025                             0.0017600619954693027+1.1064696904219032E-4i
88                                                0.001433541149981119                              0.0014323155031301352+5.926658571452666E-5i
88.5                                              0.002260892184371748                              0.0022604360285526006+4.541398655261955E-5i
89                                                0.0022847513121891047                             0.0022847495213112723-2.860667360343316E-6i
89.5                                              0.0020687000904534986                             0.0020680940524950633-5.0070493075857616E-5i
90                                                0.0020140586506091278                             0.0020119714833644535-9.166786908017889E-5i
90.5                                              0.0019867365902877672                             0.0019823561405473283-1.3185754139435514E-4i
91                                                0.001970499620946791                              0.0019630485785385884-1.7119881555979026E-4i
91.5                                              0.0019603617579933823                             0.001949087798792393-2.099404077387888E-4i
92                                                0.0019542597234769145                             0.0019384276332548064-2.4825264840125334E-4i
92.5                                              0.0019512215919546276                             0.0019301046555997047-2.8628957253504065E-4i
93                                                0.0019508110059189832                             0.0019236809765806062-3.242145603709377E-4i
93.5                                              0.0019529651655373788                             0.0019190754680621334-3.622461672461765E-4i
94                                                0.001958093527395271                              0.0019166454587858039-4.0074985632313056E-4i
94.5                                              0.0019676971029724834                             0.0019177459319906825-4.405478741062003E-4i
95                                                0.001987528023257326                              0.001927581411669951-4.8445592639336405E-4i
95.5                                              0.002062513145581557                              0.001986024158110536-5.564786780264506E-4i
96                                                0.0017823593030367995                             0.0017134585341460377-4.907795196256027E-4i
96.5                                              0.0019086650647891447                             0.0018252038296505632-5.582412648447517E-4i
97                                                0.0019315160181526683                             0.0018354506652894797-6.015604572017221E-4i
97.5                                              0.0019336504312130753                             0.0018248140417623545-6.395761902365125E-4i
98                                                0.0019989484737255774                             0.0019414069593655053-4.7616595713784307E-4i
98.5                                              0.0018228359516722758                             0.0017033846661397354-6.490081554718658E-4i
99                                                0.0023867428210447256                             0.0022300951047756396-8.504217291816248E-4i
99.5                                              0.0022003360711406092                             0.002025685832382443-8.591133420262669E-4i
100                                               0.0022010021894858277                             0.002008388739388175-9.004361774274652E-4i
100.5                                             0.00223852157084894                               0.0020248877069401223-9.543629275274581E-4i
101                                               0.002310213838523624                              0.0020710462002964886-0.0010236481895375645i
101.5                                             0.002448045445188281                              0.002174055535322156-0.001125348404291837i
102                                               0.0028096147974611507                             0.0024699001863129023-0.0013392267842916499i
